"Allow","Zezwalaj"
"Newsletter","Subskrypcja newslettera"
"Account","Moje konto"
"Cart","Koszyk"
"Orders and Returns","Informacje o zamówieniu"
"Mage_CatalogSearch::Search Terms","Najczęściej wyszukiwane"
"Compare","Porównaj"
"Mage_Core::Search entire store here...","Wyszukaj w sklepie..."
"Additional Information","Dane techniczne"
"View Shopping Cart","Przejdź do koszyka"
"Empty Cart","Wyczyść koszyk"
"Mage_Checkout::Subtotal","Wartość"
"Mage_Checkout::Cart Subtotal:","Wartość netto koszyka:"
"Mage_Sales::Subtotal","Wartość netto"
"Mage_Sales::Grand Total","Do zapłaty"
"%s was added to your shopping cart.","%s - produkt dodany do koszyka"
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Kontynuuj</a> zakupy."
"Checkout Method","Sposób realizacji zamówienia"
"Returning Customers","Powracający Klienci"
"Sign in to speed up your checkout process","Zaloguj się, aby przyspieszyć proces zamówienia"
"Register and Checkout","Złóż zamówienie i załóż konto"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Na pewno chcesz opuścić tą stronę? Wymagane będzie ponowne przejście wszystkich kroków zamówienia."